experiment_key,experiment_name,problem_kind,problem,number_of_variables,number_of_eval,number_of_islands,topology,migrant_selection_strategy,migrant_acceptation_strategy,migration_interval,number_of_emigrants,run_count,repeat_values,complete_three_repeats,best_final_mean,best_final_std,best_final_min,best_final_max,mean_final_mean,mean_final_std,mean_final_min,mean_final_max,median_final_mean,median_final_std,median_final_min,median_final_max,worst_final_mean,worst_final_std,worst_final_min,worst_final_max,std_final_mean,std_final_std,std_final_min,std_final_max,global_best_end_mean,global_best_end_std,global_best_end_min,global_best_end_max,global_best_improvement_mean,global_best_improvement_std,global_best_improvement_min,global_best_improvement_max,last_step_mean,last_step_std,last_step_min,last_step_max,convergence_improvement_mean,convergence_improvement_std,convergence_improvement_min,convergence_improvement_max,auc_global_best_so_far_mean,auc_global_best_so_far_std,auc_global_best_so_far_min,auc_global_best_so_far_max,mean_global_best_so_far_mean,mean_global_best_so_far_std,mean_global_best_so_far_min,mean_global_best_so_far_max,best_at_25pct_budget_mean,best_at_25pct_budget_std,best_at_25pct_budget_min,best_at_25pct_budget_max,best_at_50pct_budget_mean,best_at_50pct_budget_std,best_at_50pct_budget_min,best_at_50pct_budget_max,best_at_75pct_budget_mean,best_at_75pct_budget_std,best_at_75pct_budget_min,best_at_75pct_budget_max,best_at_100pct_budget_mean,best_at_100pct_budget_std,best_at_100pct_budget_min,best_at_100pct_budget_max,eval_to_25pct_improvement_mean,eval_to_25pct_improvement_std,eval_to_25pct_improvement_min,eval_to_25pct_improvement_max,eval_to_50pct_improvement_mean,eval_to_50pct_improvement_std,eval_to_50pct_improvement_min,eval_to_50pct_improvement_max,eval_to_75pct_improvement_mean,eval_to_75pct_improvement_std,eval_to_75pct_improvement_min,eval_to_75pct_improvement_max,eval_to_90pct_improvement_mean,eval_to_90pct_improvement_std,eval_to_90pct_improvement_min,eval_to_90pct_improvement_max,eval_to_final_best_mean,eval_to_final_best_std,eval_to_final_best_min,eval_to_final_best_max,strategy_rank_by_eval_to_90pct_improvement_mean,ranked_factor,ranked_metric
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c29_composition7,30,1000,12,complete,maxDistance,plain,20,2,1,1,False,2609834.3722644695,0,2609834.3722644695,2609834.3722644695,3089015.8955891714,0,3089015.8955891714,3089015.8955891714,2983863.3362780944,0,2983863.3362780944,2983863.3362780944,4009135.372072036,0,4009135.372072036,4009135.372072036,378555.3064301624,0,378555.3064301624,378555.3064301624,2609834.3722644695,0,2609834.3722644695,2609834.3722644695,5602871801.024258,0,5602871801.024258,5602871801.024258,246.0,0,246.0,246.0,5602871801.024258,0,5602871801.024258,5602871801.024258,248756398208.83154,0,248756398208.83154,248756398208.83154,253833059.39676687,0,253833059.39676687,253833059.39676687,74067489.1641974,0,74067489.1641974,74067489.1641974,5295393.061446171,0,5295393.061446171,5295393.061446171,2911149.9863147894,0,2911149.9863147894,2911149.9863147894,2609834.3722644695,0,2609834.3722644695,2609834.3722644695,48.0,0,48.0,48.0,52.0,0,52.0,52.0,72.0,0,72.0,72.0,92.0,0,92.0,92.0,988.0,0,988.0,988.0,1,maxDistance,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c29_composition7,30,1000,12,complete,random,plain,20,2,1,1,False,3660069.5294821993,0,3660069.5294821993,3660069.5294821993,4687466.5139448615,0,4687466.5139448615,4687466.5139448615,4641780.9498913735,0,4641780.9498913735,4641780.9498913735,6868973.791606839,0,6868973.791606839,6868973.791606839,851725.6681101931,0,851725.6681101931,851725.6681101931,3660069.5294821993,0,3660069.5294821993,3660069.5294821993,2879237795.2823095,0,2879237795.2823095,2879237795.2823095,246.0,0,246.0,246.0,2879237795.2823095,0,2879237795.2823095,2879237795.2823095,142472889874.90353,0,142472889874.90353,142472889874.90353,145380499.87235054,0,145380499.87235054,145380499.87235054,44097694.93301551,0,44097694.93301551,44097694.93301551,11551398.247596234,0,11551398.247596234,11551398.247596234,5410595.184618788,0,5410595.184618788,5410595.184618788,3660069.5294821993,0,3660069.5294821993,3660069.5294821993,40.0,0,40.0,40.0,56.0,0,56.0,56.0,88.0,0,88.0,88.0,108.0,0,108.0,108.0,1000.0,0,1000.0,1000.0,2,random,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c29_composition7,30,1000,12,complete,best,plain,20,2,1,1,False,3119520.068841774,0,3119520.068841774,3119520.068841774,3303066.0859050923,0,3303066.0859050923,3303066.0859050923,3275527.6904899315,0,3275527.6904899315,3275527.6904899315,3599188.3083989425,0,3599188.3083989425,3599188.3083989425,117510.39459369541,0,117510.39459369541,117510.39459369541,3119520.068841774,0,3119520.068841774,3119520.068841774,4069949359.4415894,0,4069949359.4415894,4069949359.4415894,246.0,0,246.0,246.0,4069949359.4415894,0,4069949359.4415894,4069949359.4415894,155507550607.11,0,155507550607.11,155507550607.11,158681174.08888775,0,158681174.08888775,158681174.08888775,32269000.562986173,0,32269000.562986173,32269000.562986173,6119054.447706975,0,6119054.447706975,6119054.447706975,3542908.512108001,0,3542908.512108001,3542908.512108001,3119520.068841774,0,3119520.068841774,3119520.068841774,32.0,0,32.0,32.0,48.0,0,48.0,48.0,84.0,0,84.0,84.0,112.0,0,112.0,112.0,1000.0,0,1000.0,1000.0,3,best,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c29_composition7,30,1000,12,complete,worst,plain,20,2,1,1,False,2751412.50676117,0,2751412.50676117,2751412.50676117,2934142.1643101927,0,2934142.1643101927,2934142.1643101927,2920027.2034469643,0,2920027.2034469643,2920027.2034469643,3184487.7622571574,0,3184487.7622571574,3184487.7622571574,130634.26143015694,0,130634.26143015694,130634.26143015694,2751412.50676117,0,2751412.50676117,2751412.50676117,6076660107.039001,0,6076660107.039001,6076660107.039001,246.0,0,246.0,246.0,6076660107.039001,0,6076660107.039001,6076660107.039001,252631041723.07373,0,252631041723.07373,252631041723.07373,257786777.26844257,0,257786777.26844257,257786777.26844257,100652915.16113643,0,100652915.16113643,100652915.16113643,7533070.2795399185,0,7533070.2795399185,7533070.2795399185,3508148.1254990962,0,3508148.1254990962,3508148.1254990962,2751412.50676117,0,2751412.50676117,2751412.50676117,24.0,0,24.0,24.0,36.0,0,36.0,36.0,88.0,0,88.0,88.0,124.0,0,124.0,124.0,996.0,0,996.0,996.0,4,worst,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,ring,worst,plain,20,2,1,1,False,378908162.2923128,0,378908162.2923128,378908162.2923128,1756495011.2634938,0,1756495011.2634938,1756495011.2634938,622263212.2579973,0,622263212.2579973,622263212.2579973,9338646378.245268,0,9338646378.245268,9338646378.245268,2696860285.583407,0,2696860285.583407,2696860285.583407,378908162.2923128,0,378908162.2923128,378908162.2923128,21238145668887.24,0,21238145668887.24,21238145668887.24,246.0,0,246.0,246.0,21238145668887.24,0,21238145668887.24,21238145668887.24,53694988645232.28,0,53694988645232.28,53694988645232.28,54790804740.03294,0,54790804740.03294,54790804740.03294,1721203705.098072,0,1721203705.098072,1721203705.098072,874675349.7500788,0,874675349.7500788,874675349.7500788,554694018.5021055,0,554694018.5021055,554694018.5021055,378908162.2923128,0,378908162.2923128,378908162.2923128,24.0,0,24.0,24.0,24.0,0,24.0,24.0,24.0,0,24.0,24.0,24.0,0,24.0,24.0,1000.0,0,1000.0,1000.0,1,worst,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,ring,random,plain,20,2,1,1,False,71934339.50666542,0,71934339.50666542,71934339.50666542,9641483011.347113,0,9641483011.347113,9641483011.347113,364070937.6722461,0,364070937.6722461,364070937.6722461,109067250414.26419,0,109067250414.26419,109067250414.26419,29987331232.26259,0,29987331232.26259,29987331232.26259,71934339.50666542,0,71934339.50666542,71934339.50666542,18826498999587.29,0,18826498999587.29,18826498999587.29,246.0,0,246.0,246.0,18826498999587.29,0,18826498999587.29,18826498999587.29,78108155363617.19,0,78108155363617.19,78108155363617.19,79702199350.62978,0,79702199350.62978,79702199350.62978,1300171358.193389,0,1300171358.193389,1300171358.193389,224047146.3340064,0,224047146.3340064,224047146.3340064,134476314.1585045,0,134476314.1585045,134476314.1585045,71934339.50666542,0,71934339.50666542,71934339.50666542,24.0,0,24.0,24.0,24.0,0,24.0,24.0,28.0,0,28.0,28.0,28.0,0,28.0,28.0,980.0,0,980.0,980.0,2,random,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,ring,best,plain,20,2,1,1,False,183730832.54983923,0,183730832.54983923,183730832.54983923,1973346914.7532837,0,1973346914.7532837,1973346914.7532837,1309911636.1510005,0,1309911636.1510005,1309911636.1510005,5856729612.575293,0,5856729612.575293,5856729612.575293,1810897063.750445,0,1810897063.750445,1810897063.750445,183730832.54983923,0,183730832.54983923,183730832.54983923,7421285743443.07,0,7421285743443.07,7421285743443.07,246.0,0,246.0,246.0,7421285743443.07,0,7421285743443.07,7421285743443.07,66401571742915.766,0,66401571742915.766,66401571742915.766,67756705860.118126,0,67756705860.118126,67756705860.118126,461374179.3471718,0,461374179.3471718,461374179.3471718,332472702.67028606,0,332472702.67028606,332472702.67028606,241439772.1090881,0,241439772.1090881,241439772.1090881,183730832.54983923,0,183730832.54983923,183730832.54983923,28.0,0,28.0,28.0,28.0,0,28.0,28.0,28.0,0,28.0,28.0,36.0,0,36.0,36.0,1000.0,0,1000.0,1000.0,3,best,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,ring,maxDistance,plain,20,2,1,1,False,90312687.74954559,0,90312687.74954559,90312687.74954559,325818378.0489575,0,325818378.0489575,325818378.0489575,271852753.00392526,0,271852753.00392526,271852753.00392526,649433634.6399995,0,649433634.6399995,649433634.6399995,177707550.57714492,0,177707550.57714492,177707550.57714492,90312687.74954559,0,90312687.74954559,90312687.74954559,9686895165426.012,0,9686895165426.012,9686895165426.012,246.0,0,246.0,246.0,9686895165426.012,0,9686895165426.012,9686895165426.012,98823846754050.52,0,98823846754050.52,98823846754050.52,100840659953.11278,0,100840659953.11278,100840659953.11278,674138681.2427328,0,674138681.2427328,674138681.2427328,312780770.8211761,0,312780770.8211761,312780770.8211761,117624622.333361,0,117624622.333361,117624622.333361,90312687.74954559,0,90312687.74954559,90312687.74954559,24.0,0,24.0,24.0,36.0,0,36.0,36.0,36.0,0,36.0,36.0,44.0,0,44.0,44.0,1000.0,0,1000.0,1000.0,4,maxDistance,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,torus,maxDistance,plain,20,2,1,1,False,99108416.8604796,0,99108416.8604796,99108416.8604796,115092660.56412296,0,115092660.56412296,115092660.56412296,113455989.39259751,0,113455989.39259751,113455989.39259751,139870972.75714344,0,139870972.75714344,139870972.75714344,12397964.139705475,0,12397964.139705475,12397964.139705475,99108416.8604796,0,99108416.8604796,99108416.8604796,11795587224578.982,0,11795587224578.982,11795587224578.982,246.0,0,246.0,246.0,11795587224578.982,0,11795587224578.982,11795587224578.982,64469881859752.76,0,64469881859752.76,64469881859752.76,65785593734.44159,0,65785593734.44159,65785593734.44159,1390919906.531489,0,1390919906.531489,1390919906.531489,326699309.2256042,0,326699309.2256042,326699309.2256042,133798240.19644773,0,133798240.19644773,133798240.19644773,99108416.8604796,0,99108416.8604796,99108416.8604796,24.0,0,24.0,24.0,28.0,0,28.0,28.0,28.0,0,28.0,28.0,28.0,0,28.0,28.0,1000.0,0,1000.0,1000.0,1,maxDistance,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,torus,best,plain,20,2,1,1,False,117105688.17866664,0,117105688.17866664,117105688.17866664,134450035.16709426,0,134450035.16709426,134450035.16709426,129188152.72954002,0,129188152.72954002,129188152.72954002,170360106.6590227,0,170360106.6590227,170360106.6590227,15946285.46071906,0,15946285.46071906,15946285.46071906,117105688.17866664,0,117105688.17866664,117105688.17866664,114860377098972.61,0,114860377098972.61,114860377098972.61,246.0,0,246.0,246.0,114860377098972.61,0,114860377098972.61,114860377098972.61,1246048457686087.8,0,1246048457686087.8,1246048457686087.8,1271478018047.0283,0,1271478018047.0283,1271478018047.0283,1156610978.5790765,0,1156610978.5790765,1156610978.5790765,301554292.4832305,0,301554292.4832305,301554292.4832305,166379232.11993238,0,166379232.11993238,166379232.11993238,117105688.17866664,0,117105688.17866664,117105688.17866664,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,1000.0,0,1000.0,1000.0,2,best,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c30_composition8,30,1000,12,torus,worst,plain,20,2,1,1,False,87323470.4880397,0,87323470.4880397,87323470.4880397,123737558.26522438,0,123737558.26522438,123737558.26522438,124482996.12266408,0,124482996.12266408,124482996.12266408,154891355.32721645,0,154891355.32721645,154891355.32721645,16737633.158092871,0,16737633.158092871,16737633.158092871,87323470.4880397,0,87323470.4880397,87323470.4880397,17877116089378.508,0,17877116089378.508,17877116089378.508,246.0,0,246.0,246.0,17877116089378.508,0,17877116089378.508,17877116089378.508,156169994370600.75,0,156169994370600.75,156169994370600.75,159357137112.8579,0,159357137112.8579,159357137112.8579,3582945809.453059,0,3582945809.453059,3582945809.453059,293276585.7465608,0,293276585.7465608,293276585.7465608,150344331.53146222,0,150344331.53146222,150344331.53146222,87323470.4880397,0,87323470.4880397,87323470.4880397,28.0,0,28.0,28.0,28.0,0,28.0,28.0,28.0,0,28.0,28.0,40.0,0,40.0,40.0,1000.0,0,1000.0,1000.0,3,worst,eval_to_90pct_improvement_mean
